Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	0.094724	0.279518	96.818000	92.120000	
0.020000	0.093364	0.253299	96.922000	92.470000	
0.020000	0.087799	0.258421	97.160000	92.930000	
0.020000	0.094090	0.238967	96.960000	93.420000	
0.020000	0.089150	0.248726	97.070000	93.190000	
0.020000	0.093928	0.235130	96.988000	92.930000	
0.020000	0.091346	0.245116	96.922000	92.900000	
0.020000	0.090230	0.271285	96.964000	91.940000	
0.020000	0.092908	0.248180	96.998000	93.020000	
0.020000	0.089994	0.269622	97.064000	92.480000	
0.020000	0.095212	0.246862	96.940000	92.730000	
0.020000	0.098061	0.227413	96.734000	93.260000	
0.020000	0.088972	0.262807	97.090000	92.350000	
0.020000	0.090266	0.261355	97.002000	92.310000	
0.004000	0.034948	0.169610	99.010000	95.170000	
0.004000	0.019424	0.173173	99.494000	95.380000	
0.004000	0.014815	0.176841	99.664000	95.390000	
0.004000	0.012443	0.169705	99.696000	95.530000	
0.004000	0.010519	0.176088	99.748000	95.630000	
0.004000	0.009945	0.183047	99.782000	95.580000	
0.004000	0.008795	0.189159	99.810000	95.480000	
0.004000	0.008396	0.182975	99.808000	95.710000	
0.004000	0.007824	0.180760	99.818000	95.700000	
0.004000	0.007565	0.176086	99.846000	95.830000	
0.004000	0.007437	0.184573	99.860000	95.650000	
0.004000	0.006807	0.180775	99.874000	95.800000	
0.004000	0.006820	0.175601	99.860000	95.790000	
0.004000	0.006328	0.177118	99.894000	95.900000	
0.004000	0.006484	0.178584	99.886000	95.930000	
0.004000	0.006076	0.184579	99.888000	95.670000	
0.004000	0.005682	0.174548	99.898000	95.910000	
0.004000	0.006520	0.181289	99.872000	95.820000	
0.004000	0.005847	0.182173	99.890000	95.780000	
0.004000	0.005772	0.186514	99.902000	95.730000	
0.004000	0.005668	0.182623	99.896000	95.740000	
0.004000	0.004990	0.184118	99.936000	95.810000	
0.004000	0.005145	0.183595	99.922000	95.770000	
0.004000	0.006199	0.182153	99.898000	95.870000	
0.004000	0.005450	0.185285	99.914000	95.630000	
0.004000	0.005706	0.191790	99.908000	95.570000	
0.004000	0.005353	0.182612	99.912000	95.750000	
0.004000	0.005258	0.180683	99.922000	95.780000	
0.004000	0.005301	0.186980	99.918000	95.720000	
0.004000	0.006111	0.180413	99.874000	95.660000	
0.004000	0.006218	0.182754	99.888000	95.680000	
0.004000	0.005931	0.183350	99.888000	95.770000	
0.004000	0.005764	0.181967	99.904000	95.750000	
0.004000	0.004992	0.178333	99.934000	95.750000	
0.004000	0.005283	0.180845	99.918000	95.790000	
0.004000	0.005409	0.183567	99.918000	95.760000	
0.004000	0.005373	0.195791	99.916000	95.500000	
0.004000	0.005298	0.192189	99.916000	95.650000	
0.004000	0.005284	0.185663	99.920000	95.800000	
0.004000	0.005184	0.187483	99.924000	95.590000	
0.000800	0.004385	0.181475	99.940000	95.830000	
0.000800	0.003988	0.176961	99.942000	95.810000	
0.000800	0.003684	0.177430	99.964000	95.920000	
0.000800	0.003425	0.179590	99.974000	96.040000	
0.000800	0.003420	0.178061	99.966000	95.980000	
0.000800	0.003161	0.179761	99.978000	96.020000	
0.000800	0.003354	0.181681	99.970000	95.910000	
0.000800	0.003269	0.178111	99.964000	95.960000	
0.000800	0.003223	0.176099	99.966000	95.970000	
0.000800	0.003360	0.175982	99.966000	96.020000	
0.000800	0.003075	0.178958	99.970000	95.940000	
0.000800	0.003064	0.179144	99.974000	96.070000	
0.000800	0.003250	0.174923	99.964000	96.000000	
0.000800	0.003104	0.178556	99.974000	96.010000	
0.000800	0.002938	0.175062	99.982000	96.090000	
0.000800	0.002958	0.172099	99.980000	96.210000	
0.000800	0.003035	0.178057	99.968000	95.950000	
0.000800	0.003114	0.179808	99.966000	96.000000	
0.000800	0.003073	0.178500	99.980000	95.980000	
0.000800	0.003185	0.180491	99.970000	95.910000	
0.000800	0.002849	0.173078	99.976000	96.150000	
0.000800	0.002923	0.176707	99.984000	96.040000	
0.000800	0.002835	0.174266	99.980000	96.120000	
0.000800	0.002856	0.179005	99.984000	95.970000	
0.000800	0.002739	0.176948	99.984000	96.060000	
0.000800	0.002931	0.177426	99.982000	96.070000	
0.000800	0.002740	0.177940	99.982000	96.090000	
0.000800	0.002789	0.178479	99.982000	96.040000	
0.000800	0.002590	0.177471	99.988000	96.050000	
0.000800	0.002629	0.180703	99.984000	96.080000	
0.000800	0.002727	0.182123	99.986000	95.950000	
0.000800	0.002635	0.183115	99.988000	95.960000	
0.000800	0.002904	0.178107	99.974000	96.050000	
0.000800	0.002910	0.183112	99.978000	95.840000	
0.000800	0.002513	0.179566	99.994000	96.020000	
0.000800	0.002613	0.176741	99.984000	96.040000	
0.000800	0.002702	0.181511	99.984000	95.970000	
0.000800	0.002699	0.181662	99.986000	95.940000	
0.000800	0.002645	0.181398	99.982000	95.860000	
0.000800	0.002593	0.180648	99.990000	95.970000	
