,1.5,2,3,4.5,6,8,10,20
0.05,0.853639,0.847508,0.843552,0.849881,0.848101,0.848991,0.845827,0.843651
0.1,0.851365,0.852947,0.848596,0.850969,0.844739,0.847805,0.848497,0.851661
0.5,0.856903,0.848002,0.850178,0.845332,0.848398,0.851958,0.845629,0.844244
0.95,0.815269,0.826048,0.849684,0.850376,0.850475,0.852354,0.856013,0.847013
0.99,0.666337,0.728639,0.783722,0.823972,0.843552,0.851464,0.852453,0.854826
